NombreProceso,NombreGrupo,Fecha,total_ejecucionesFecha,total_mipsFecha
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-27,59901,1.1086919564209645
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-26,60627,1.0238951028837795
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-24,57243,1.0093693460236222
*LIBRARY/MAINTENANCE,MONITOREO,2024-02-23,10,0.0015819319374300318
*LIBRARY/MAINTENANCE,MONITOREO,2024-02-25,11,0.0015158485819541582
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-25,53614,0.950284989360642
*LIBRARY/MAINTENANCE,MONITOREO,2024-02-22,10,0.0016360598859479214
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-21,60323,1.126884236295182
*LIBRARY/MAINTENANCE,MONITOREO,2024-02-20,11,0.001314155859072667
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-20,60786,1.3827447799156736
*LIBRARY/MAINTENANCE,MONITOREO,2024-02-19,9,0.0012187473299851933
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-19,60866,0.7762403812961113
*LIBRARY/MAINTENANCE,MONITOREO,2024-02-18,9,1.9717032417618013e-05
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-18,46075,0.867503717286564
*LIBRARY/MAINTENANCE,MONITOREO,2024-02-17,9,0.0015009043232566779
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-17,54698,0.9705821563360402
*LIBRARY/MAINTENANCE,MONITOREO,2024-02-16,9,0.000946354962291958
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-16,63222,2.1416676916394124
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-15,61781,1.1795064920676088
*LIBRARY/MAINTENANCE,MONITOREO,2024-02-12,10,0.0032995984297730942
*LIBRARY/MAINTENANCE,MONITOREO,2024-02-11,11,0.0012303115259825106
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-11,54956,0.9439654457441947
*LIBRARY/MAINTENANCE,OPERACION,2024-02-10,1,0.0003331709025424644
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-10,56387,1.4283005295118243
*LIBRARY/MAINTENANCE,MONITOREO,2024-02-10,12,0.001662990848480239
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-09,63449,2.1455855285745287
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-07,63362,1.1661540551206833
*LIBRARY/MAINTENANCE,MONITOREO,2024-02-06,10,0.0012228628692914105
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-06,63366,1.1205165737305984
*LIBRARY/MAINTENANCE,MONITOREO,2024-02-05,10,0.0011920197971524223
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-05,60670,1.0326729535832855
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-04,53757,0.9130484503820742
*LIBRARY/MAINTENANCE,MONITOREO,2024-02-04,11,0.001943974208869722
*LIBRARY/MAINTENANCE,MONITOREO,2024-02-03,9,0.001978369476531568
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-03,54434,0.985975353083514
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-02-02,63586,2.1286381758677564
*LIBRARY/MAINTENANCE,MONITOREO,2024-02-02,10,0.0018728051109051778
*LIBRARY/MAINTENANCE,MONITOREO,2024-02-01,10,0.0015117956364016478
*LIBRARY/MAINTENANCE,MONITOREO,2024-01-31,10,0.001327425734858493
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-01-29,58660,1.0203885382073465
*LIBRARY/MAINTENANCE,MONITOREO,2024-01-28,11,0.0015251906996948872
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-01-27,54986,1.0058076206016844
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-01-26,66157,2.267309269790636
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-01-25,64610,1.2117116042872869
*LIBRARY/MAINTENANCE,MONITOREO,2024-01-25,10,0.0014929549165359237
*LIBRARY/MAINTENANCE,MONITOREO,2024-01-24,10,0.0013471271188376839
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-01-22,60720,1.0583319797434174
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-01-21,52208,0.8906215622336765
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-01-20,54389,0.9833952855010564
*LIBRARY/MAINTENANCE,MONITOREO,2024-01-20,9,0.0016168279551215306
*LIBRARY/MAINTENANCE,OPERACION,2024-01-20,1,0.00033296747284291753
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-01-19,61149,2.15556154890751
*LIBRARY/MAINTENANCE,MONITOREO,2024-01-18,10,0.0015388674348798062
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-01-18,62242,1.2051051934976416
*LIBRARY/MAINTENANCE,MONITOREO,2024-01-17,10,0.0013250002269023572
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-01-17,62369,1.1513266746097741
*LIBRARY/MAINTENANCE,MONITOREO,2024-01-16,10,0.0012167286814281514
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-01-16,62661,1.111048439115224
*LIBRARY/MAINTENANCE,MONITOREO,2024-01-15,10,0.0012226281427150103
*LIBRARY/MAINTENANCE,MONITOREO,2024-01-14,11,0.0015416059116044748
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-01-14,50626,0.9066940420448535
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2023-12-31,27451,0.37069166410814774
*LIBRARY/MAINTENANCE,MONITOREO,2024-01-11,10,0.001245834776901778
*LIBRARY/MAINTENANCE,MONITOREO,2024-01-10,10,0.001174806514883073
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-01-09,62440,1.0474215755035448
